Employee ID,First Name,Last Name,Email,Job Title,Phone Number,Hire Date
E02387,Emily,Davis,unknown@example.com,Sr. Manger,0000000000,2016-04-08
E04105,Theodore,Dinh,unknown@example.com,Technical Architect,0000000000,1997-11-29
E02572,Luna,Sanders,unknown@example.com,Director,0000000000,2006-10-26
E02832,Penelope,Jordan,unknown@example.com,Computer Systems Manager,0000000000,2019-09-27
E01639,Austin,Vo,unknown@example.com,Sr. Analyst,0000000000,1995-11-20
E00644,Joshua,Gupta,unknown@example.com,Account Representative,0000000000,2017-01-24
E01550,Ruby,Barnes,unknown@example.com,Manager,0000000000,2020-07-01
E04332,Luke,Martin,unknown@example.com,Analyst,0000000000,2020-05-16
E04533,Easton,Bailey,unknown@example.com,Manager,0000000000,2019-01-25
E03838,Madeline,Walker,unknown@example.com,Sr. Analyst,0000000000,2018-06-13
E00591,Savannah,Ali,unknown@example.com,Sr. Manger,0000000000,2009-02-11
E03344,Camila,Rogers,unknown@example.com,Controls Engineer,0000000000,2021-10-21
E00530,Eli,Jones,unknown@example.com,Manager,0000000000,1999-03-14
E04239,Everleigh,Ng,unknown@example.com,Sr. Manger,0000000000,2021-06-10
E03496,Robert,Yang,unknown@example.com,Sr. Analyst,0000000000,2017-11-04
E00549,Isabella,Xi,unknown@example.com,Vice President,0000000000,2013-03-13
E00163,Bella,Powell,unknown@example.com,Director,0000000000,2002-03-04
E00884,Camila,Silva,unknown@example.com,Sr. Manger,0000000000,2003-12-01
E04116,David,Barnes,unknown@example.com,Director,0000000000,2013-11-03
E04625,Adam,Dang,unknown@example.com,Director,0000000000,2002-07-09
E03680,Elias,Alvarado,unknown@example.com,Sr. Manger,0000000000,2012-01-09
E04732,Eva,Rivera,unknown@example.com,Director,0000000000,2021-04-02
E03484,Logan,Rivera,unknown@example.com,Director,0000000000,2002-05-24
E00671,Leonardo,Dixon,unknown@example.com,Analyst,0000000000,2019-09-05
E02071,Mateo,Her,unknown@example.com,Vice President,0000000000,2014-03-02
E02206,Jose,Henderson,unknown@example.com,Director,0000000000,2015-04-17
E04545,Abigail,Mejia,unknown@example.com,Quality Engineer,0000000000,2005-02-05
E00154,Wyatt,Chin,unknown@example.com,Vice President,0000000000,2004-06-07
E03343,Carson,Lu,unknown@example.com,Engineering Manager,0000000000,1996-12-04
E00304,Dylan,Choi,unknown@example.com,Vice President,0000000000,2012-05-11
E02594,Ezekiel,Kumar,unknown@example.com,IT Coordinator,0000000000,2017-06-25
E00402,Dominic,Guzman,unknown@example.com,Analyst,0000000000,2004-05-16
E01994,Angel,Powell,unknown@example.com,Analyst II,0000000000,2008-07-11
E03549,Mateo,Vu,unknown@example.com,Account Representative,0000000000,2016-09-29
E03247,Caroline,Jenkins,unknown@example.com,Analyst,0000000000,2018-05-06
E02074,Nora,Brown,unknown@example.com,Enterprise Architect,0000000000,2014-02-11
E04152,Adeline,Huang,unknown@example.com,Controls Engineer,0000000000,2019-12-16
E01628,Jackson,Perry,unknown@example.com,Vice President,0000000000,2019-10-20
E04285,Riley,Padilla,unknown@example.com,Technical Architect,0000000000,2013-05-15
E01417,Leah,Pena,unknown@example.com,Enterprise Architect,0000000000,1994-01-03
E01754,Owen,Lam,unknown@example.com,Sr. Business Partner,0000000000,2017-05-29
